Location,Arrival,Departure,Comments,Address,Latitude,Longitude,Type
St. Peters' 370 Lakeside Park,04/15/21,04/16/21,0,"St. Peters, MO",38.82102,-90.57058,RV Park
Two Rivers Campground,04/16/21,04/19/21,0,"2616 Music Valley Dr, Nashville, TN 37214",36.23443,-86.70362,RV Park
Raccoon Mountain Caverns and Campground,04/19/21,04/22/21,0,"319 W Hills Dr, Chattanooga, TN 37419-2100",35.02096,-85.40815,RV Park
Up the Creek RV Camp,04/22/21,04/26/21,0,"1919 Little Valley Rd, Pigeon Forge, TN 37862",35.78447,-83.63269,RV Park
Great Smoky Mountains National Park,04/22/21,04/26/21,null,null,35.611763,-83.489548,National Park
Kentucky Horse Park Campground,04/26/21,04/29/21,0,"4089 Iron Works Pkwy, Lexington, KY 40511",38.14126,-84.51352,RV Park
Dayton KOA Holiday,04/29/21,05/01/21,0,"7796 Wellbaum Road, Brookville, OH 45309",39.85771,-84.38786,RV Park
Kamp Komfort,05/01/21,05/02/21,0,"21408 N 600 East Rd, Carlock, IL 61725",40.59561,-89.15542,RV Park
Big Woods Lake Campground,05/02/21,05/03/21,0,"1501 E Lake St, Cedar Falls, IA 50613",42.55576,-92.42933,RV Park
Mac's Creek Winery,06/06/21,06/07/21,0,"Lexington, NE",40.70047,-99.08347,Harvest Host
Spruce Lake RV Resort,06/07/21,06/10/21,0,"1050 Mary's Lake Road, Estes Park, CO 80517",40.36245,-105.54328,RV Park
Royal View Camp Resort,06/10/21,06/14/21,0,"43590 W US Highway 50, Canon City, CO 81212",38.49814,-105.34876,RV Park
Great Sand Dunes National Park,06/14/21,06/14/21,0,"11500 State Highway 150, Mosca, CO 81146-9502",37.72498,-105.51909,National Park
Pleasant Journey Alpacas (Harvest),06/14/21,06/16/21,0,"4128 County Road 129, Hesperus, CO 81326",37.17397,-108.08561,RV Park
Sundance RV Park,06/16/21,06/18/21,0,"815 E Main St, Cortez, CO 81321",37.3486,-108.57453,RV Park
